Lp,N2
1,1009.3
2,921.27
3,989.81
4,988.38
5,1068.31
6,943.57
7,1037.98
8,1063.53
9,923.83
10,962.06
11,1012.57
12,1110.48
13,991.84
14,959.25
15,904.62
16,921.11
17,949.67
18,913.92
19,1001.19
20,958.45
21,1074.65
22,1027.91
23,971.89
24,1059.78
25,994.2
26,986.01
27,940.05
28,916.34
29,961.72
30,945.86
31,959.87
32,938.51
33,860.71
34,849.43
35,1057.9
36,1031.3
37,901.43
38,1005.31
39,975.97
40,984
41,966.68
42,999.01
43,1019.56
44,1050.89
45,878.05
46,969.09
47,1022.94
48,960.51
49,929.41
50,960.81
51,1024.3
52,1039.01
53,915.8
54,1067.31
55,979.72
56,992.32
57,1061.34
58,914.67
59,928.15
60,975.86
