"","pomiar","technologia"
"1",999,"1"
"2",1025,"1"
"3",982,"1"
"4",959,"1"
"5",996,"1"
"6",946,"1"
"7",1041,"1"
"8",1138,"1"
"9",1034,"1"
"10",958,"1"
"11",1039,"1"
"12",1038,"1"
"13",995,"1"
"14",1099,"1"
"15",886,"1"
"16",1064,"1"
"17",1038,"1"
"18",1005,"1"
"19",1010,"1"
"20",1020,"1"
"21",1126,"1"
"22",992,"1"
"23",1029,"1"
"24",1060,"1"
"25",957,"1"
"26",980,"1"
"27",1057,"1"
"28",1037,"1"
"29",891,"1"
"30",923,"1"
"31",1064,"1"
"32",965,"1"
"33",910,"1"
"34",906,"1"
"35",1013,"1"
"36",829,"1"
"37",1066,"1"
"38",1006,"1"
"39",955,"1"
"40",992,"1"
"41",944,"2"
"42",982,"2"
"43",919,"2"
"44",886,"2"
"45",940,"2"
"46",867,"2"
"47",1005,"2"
"48",1148,"2"
"49",995,"2"
"50",883,"2"
"51",1003,"2"
"52",1001,"2"
"53",938,"2"
"54",1090,"2"
"55",779,"2"
"56",1039,"2"
"57",1001,"2"
"58",953,"2"
"59",960,"2"
"60",975,"2"
"61",967,"3"
"62",861,"3"
"63",980,"3"
"64",1034,"3"
"65",1045,"3"
"66",925,"3"
"67",991,"3"
"68",920,"3"
"69",958,"3"
"70",1004,"3"
"71",949,"3"
"72",975,"3"
"73",932,"3"
"74",909,"3"
"75",946,"3"
"76",896,"3"
"77",991,"3"
"78",1088,"3"
"79",984,"3"
"80",908,"3"
"81",989,"3"
"82",988,"3"
"83",945,"3"
"84",1049,"3"
"85",836,"3"
"86",1014,"3"
"87",988,"3"
"88",955,"3"
"89",960,"3"
"90",970,"3"
"91",1076,"3"
"92",942,"3"
"93",979,"3"
"94",1010,"3"
"95",907,"3"
"96",930,"3"
"97",1007,"3"
"98",987,"3"
"99",841,"3"
"100",873,"3"
"101",779,"3"
"102",1016,"3"
"103",956,"3"
"104",905,"3"
"105",942,"3"
"106",1014,"3"
"107",915,"3"
"108",860,"3"
"109",856,"3"
"110",963,"3"
"111",995,"4"
"112",982,"4"
"113",965,"4"
"114",927,"4"
"115",1056,"4"
"116",1066,"4"
"117",920,"4"
"118",1095,"4"
"119",1015,"4"
"120",1036,"4"
"121",930,"4"
"122",987,"4"
"123",981,"4"
"124",948,"4"
"125",932,"4"
"126",971,"4"
"127",936,"4"
"128",955,"4"
"129",1005,"4"
"130",915,"4"
"131",1083,"4"
"132",904,"4"
"133",969,"4"
"134",919,"4"
"135",1027,"4"
"136",985,"4"
"137",1059,"4"
"138",1092,"4"
"139",834,"4"
"140",989,"4"
"141",934,"4"
"142",1071,"4"
"143",933,"4"
"144",947,"4"
"145",1121,"4"
"146",954,"4"
"147",902,"4"
"148",999,"4"
"149",1050,"4"
"150",966,"4"
"151",978,"4"
"152",956,"4"
"153",1007,"4"
"154",993,"4"
"155",966,"4"
"156",990,"4"
"157",1012,"4"
"158",1039,"4"
"159",983,"4"
"160",892,"4"
"161",971,"4"
"162",890,"4"
"163",977,"4"
"164",946,"4"
"165",1030,"4"
"166",1037,"4"
"167",902,"4"
"168",1088,"4"
"169",1063,"4"
"170",991,"4"
"171",1036,"4"
"172",997,"4"
"173",1081,"4"
"174",1089,"4"
"175",1067,"4"
"176",935,"4"
"177",893,"4"
"178",864,"4"
"179",1010,"4"
"180",999,"4"
"181",982,"4"
"182",918,"4"
"183",1090,"4"
"184",971,"4"
"185",1001,"4"
"186",1024,"4"
"187",1028,"4"
"188",1058,"4"
"189",1011,"4"
"190",998,"4"
