"pomiar","technologia"
995,4
982,4
965,4
927,4
1056,4
1066,4
920,4
1095,4
1015,4
1036,4
930,4
987,4
981,4
948,4
932,4
971,4
936,4
955,4
1005,4
915,4
1083,4
904,4
969,4
919,4
1027,4
985,4
1059,4
1092,4
834,4
989,4
934,4
1071,4
933,4
947,4
1121,4
954,4
902,4
999,4
1050,4
966,4
978,4
956,4
1007,4
993,4
966,4
990,4
1012,4
1039,4
983,4
892,4
971,4
890,4
977,4
946,4
1030,4
1037,4
902,4
1088,4
1063,4
991,4
1036,4
997,4
1081,4
1089,4
1067,4
935,4
893,4
864,4
1010,4
999,4
982,4
918,4
1090,4
971,4
1001,4
1024,4
1028,4
1058,4
1011,4
998,4
