"","x"
"1",11
"2",12
"3",13
"4",13
"5",13
"6",13
"7",13
"8",13
"9",14
"10",14
"11",14
"12",14
"13",14
"14",14
"15",14
"16",14
"17",14
"18",14
"19",14
"20",14
"21",14
"22",14
"23",14
"24",15
"25",15
"26",15
"27",15
"28",15
"29",15
"30",15
"31",15
"32",15
"33",15
"34",15
"35",15
"36",15
"37",15
"38",15
"39",15
"40",15
"41",15
"42",16
"43",16
"44",16
"45",16
"46",16
"47",16
"48",16
"49",16
"50",16
"51",16
"52",16
"53",16
"54",16
"55",16
"56",16
"57",16
"58",16
"59",16
"60",16
"61",16
"62",16
"63",17
"64",17
"65",17
"66",17
"67",17
"68",17
"69",17
"70",17
"71",17
"72",17
"73",17
"74",17
"75",17
"76",17
"77",17
"78",17
"79",17
"80",17
"81",17
"82",17
"83",17
"84",17
"85",17
"86",17
"87",18
"88",18
"89",18
"90",18
"91",18
"92",18
"93",18
"94",19
"95",19
"96",19
"97",19
"98",20
"99",20
"100",20
