"","x"
"1",4
"2",4
"3",5
"4",6
"5",6
"6",7
"7",8
"8",8
"9",8
"10",9
"11",9
"12",10
"13",10
"14",11
"15",11
"16",12
"17",12
"18",12
"19",12
"20",12
"21",15
"22",15
"23",15
"24",15
"25",16
"26",17
"27",17
"28",17
"29",18
"30",18
"31",18
"32",19
"33",19
"34",19
"35",19
"36",19
"37",20
"38",20
"39",21
"40",21
"41",22
"42",22
"43",22
"44",23
"45",25
"46",25
"47",26
"48",27
"49",27
"50",27
"51",27
"52",27
"53",27
"54",29
"55",30
"56",30
"57",30
"58",30
"59",31
"60",31
"61",32
"62",32
"63",33
"64",34
"65",34
"66",35
"67",35
"68",35
"69",36
"70",36
"71",36
"72",37
"73",37
"74",37
"75",37
"76",38
"77",38
"78",39
"79",39
"80",39
"81",40
"82",41
"83",41
"84",42
"85",43
"86",43
"87",44
"88",44
"89",44
"90",45
"91",46
"92",47
"93",48
"94",53
"95",57
"96",57
"97",59
"98",61
"99",63
"100",66
