"means","Freq"
"1","469",1
"2","489",1
"3","500",1
"4","614",1
"5","627",1
"6","675",1
"7","710",2
"8","715",1
"9","725",1
"10","729",1
"11","753",1
"12","767",1
"13","791",1
"14","794",1
"15","796",1
"16","825",1
"17","834",1
"18","835",1
"19","841",1
"20","844",1
"21","849",1
"22","859",1
"23","861",1
"24","875",2
"25","884",1
"26","890",1
"27","891",1
"28","912",1
"29","931",1
"30","932",1
"31","936",1
"32","950",1
"33","951",2
"34","956",1
"35","957",1
"36","975",1
"37","987",1
"38","989",1
"39","1013",1
"40","1015",1
"41","1037",1
"42","1057",1
"43","1063",1
"44","1064",1
"45","1065",1
"46","1084",1
"47","1093",1
"48","1096",1
"49","1098",1
"50","1105",1
"51","1115",1
"52","1119",1
"53","1123",1
"54","1126",1
"55","1129",1
"56","1133",1
"57","1160",1
"58","1175",1
"59","1179",1
"60","1180",1
"61","1182",1
"62","1185",1
"63","1186",2
"64","1187",1
"65","1189",1
"66","1203",1
"67","1213",1
"68","1214",1
"69","1216",1
"70","1217",1
"71","1223",1
"72","1226",1
"73","1230",1
"74","1234",2
"75","1236",2
"76","1239",1
"77","1240",1
"78","1241",4
"79","1245",1
"80","1247",1
"81","1252",1
"82","1253",2
"83","1257",1
"84","1265",1
"85","1274",1
"86","1278",1
"87","1284",1
"88","1300",1
"89","1301",1
"90","1303",2
"91","1305",1
"92","1308",1
"93","1309",1
"94","1310",2
"95","1313",3
"96","1317",1
"97","1318",2
"98","1320",1
"99","1324",1
"100","1326",1
"101","1328",1
"102","1330",1
"103","1339",1
"104","1341",1
"105","1354",2
"106","1356",2
"107","1361",1
"108","1362",1
"109","1364",1
"110","1370",1
"111","1377",1
"112","1378",1
"113","1383",1
"114","1384",1
"115","1386",2
"116","1389",1
"117","1392",1
"118","1395",1
"119","1397",1
"120","1402",1
"121","1403",1
"122","1407",1
"123","1408",4
"124","1409",1
"125","1413",2
"126","1414",2
"127","1415",2
"128","1417",1
"129","1420",1
"130","1422",1
"131","1423",1
"132","1424",1
"133","1425",1
"134","1430",1
"135","1435",1
"136","1436",1
"137","1437",1
"138","1438",1
"139","1441",1
"140","1442",1
"141","1448",1
"142","1452",1
"143","1454",1
"144","1468",1
"145","1470",1
"146","1473",1
"147","1474",2
"148","1475",1
"149","1476",1
"150","1477",1
"151","1478",1
"152","1481",2
"153","1483",1
"154","1485",1
"155","1486",2
"156","1487",2
"157","1488",1
"158","1490",1
"159","1492",1
"160","1497",1
"161","1499",1
"162","1502",1
"163","1508",2
"164","1509",1
"165","1510",1
"166","1511",2
"167","1521",3
"168","1526",1
"169","1527",1
"170","1528",1
"171","1530",1
"172","1531",1
"173","1532",1
"174","1534",1
"175","1535",1
"176","1543",1
"177","1545",1
"178","1546",1
"179","1552",1
"180","1553",1
"181","1555",1
"182","1558",1
"183","1559",1
"184","1560",1
"185","1561",1
"186","1564",2
"187","1566",1
"188","1567",1
"189","1568",2
"190","1571",1
"191","1573",1
"192","1577",1
"193","1583",1
"194","1585",1
"195","1586",1
"196","1589",1
"197","1595",1
"198","1596",1
"199","1599",1
"200","1602",1
"201","1609",1
"202","1610",2
"203","1611",2
"204","1614",1
"205","1620",2
"206","1623",1
"207","1626",1
"208","1627",1
"209","1629",1
"210","1631",1
"211","1634",2
"212","1635",1
"213","1636",1
"214","1641",1
"215","1642",2
"216","1645",1
"217","1651",1
"218","1658",1
"219","1660",1
"220","1661",1
"221","1663",1
"222","1664",2
"223","1665",1
"224","1670",2
"225","1671",2
"226","1674",3
"227","1675",1
"228","1676",2
"229","1677",1
"230","1680",1
"231","1682",2
"232","1683",1
"233","1684",1
"234","1685",1
"235","1686",1
"236","1687",1
"237","1688",1
"238","1689",1
"239","1690",2
"240","1695",1
"241","1696",1
"242","1697",3
"243","1699",1
"244","1701",2
"245","1705",1
"246","1706",1
"247","1710",2
"248","1713",3
"249","1714",1
"250","1716",2
"251","1723",1
"252","1724",1
"253","1727",1
"254","1732",1
"255","1733",2
"256","1735",1
"257","1737",1
"258","1738",1
"259","1741",1
"260","1742",1
"261","1745",1
"262","1747",1
"263","1748",1
"264","1749",1
"265","1752",1
"266","1756",1
"267","1759",1
"268","1760",1
"269","1763",2
"270","1764",1
"271","1769",2
"272","1770",1
"273","1779",1
"274","1780",1
"275","1781",2
"276","1782",1
"277","1787",2
"278","1788",1
"279","1790",1
"280","1798",3
"281","1799",2
"282","1800",1
"283","1801",2
"284","1802",2
"285","1804",1
"286","1805",1
"287","1807",1
"288","1808",2
"289","1809",1
"290","1810",2
"291","1811",1
"292","1812",1
"293","1813",2
"294","1814",1
"295","1815",1
"296","1818",1
"297","1819",1
"298","1820",4
"299","1821",2
"300","1823",1
"301","1824",1
"302","1830",2
"303","1831",2
"304","1832",1
"305","1833",1
"306","1834",1
"307","1839",2
"308","1842",3
"309","1845",1
"310","1846",1
"311","1847",1
"312","1848",1
"313","1849",1
"314","1851",1
"315","1853",1
"316","1855",2
"317","1859",1
"318","1861",1
"319","1862",2
"320","1864",1
"321","1865",2
"322","1866",3
"323","1867",2
"324","1869",1
"325","1871",2
"326","1872",2
"327","1874",1
"328","1876",2
"329","1880",1
"330","1881",1
"331","1886",2
"332","1887",2
"333","1888",1
"334","1890",2
"335","1891",1
"336","1893",3
"337","1894",1
"338","1896",2
"339","1897",1
"340","1898",1
"341","1899",1
"342","1901",1
"343","1902",1
"344","1903",1
"345","1904",3
"346","1905",1
"347","1909",2
"348","1910",1
"349","1911",1
"350","1912",1
"351","1917",3
"352","1918",4
"353","1919",1
"354","1920",1
"355","1921",2
"356","1923",1
"357","1926",1
"358","1927",1
"359","1931",2
"360","1936",1
"361","1937",2
"362","1938",1
"363","1939",2
"364","1941",1
"365","1942",2
"366","1943",1
"367","1944",2
"368","1947",1
"369","1948",1
"370","1949",1
"371","1951",2
"372","1952",2
"373","1956",2
"374","1957",1
"375","1958",3
"376","1959",1
"377","1961",2
"378","1962",1
"379","1963",2
"380","1964",1
"381","1966",1
"382","1967",1
"383","1968",1
"384","1971",2
"385","1972",1
"386","1974",1
"387","1975",1
"388","1976",1
"389","1977",1
"390","1978",2
"391","1981",2
"392","1984",1
"393","1985",2
"394","1986",1
"395","1987",1
"396","1989",2
"397","1991",1
"398","1992",1
"399","1995",1
"400","1996",1
"401","1997",1
"402","1998",1
"403","2000",1
"404","2002",1
"405","2003",2
"406","2004",2
"407","2006",1
"408","2007",1
"409","2009",4
"410","2010",1
"411","2011",1
