"","x"
"1",788.93
"2",935.01
"3",835.42
"4",860.39
"5",878.83
"6",849.94
"7",908.35
"8",968.99
"9",870.11
"10",892.63
"11",897.37
"12",920.72
"13",966.1
"14",866.96
"15",832.1
"16",855.79
"17",804.91
"18",853.83
"19",947.65
"20",955.98
"21",800.77
"22",934.35
"23",931.69
"24",870.11
"25",888.78
"26",871.46
"27",935.5
"28",904.21
"29",842.15
"30",866.94
"31",885.97
"32",897.12
"33",882.85
"34",979.81
"35",941.73
"36",828.26
"37",853.63
"38",865.62
"39",937.56
"40",890.47
"41",794.4
"42",810.03
"43",881.28
"44",814.12
"45",892.84
"46",938.28
"47",1025.62
"48",822.67
"49",881.54
"50",889.49
"51",917.36
"52",951.67
"53",931.21
"54",865.7
"55",951.29
"56",922.04
"57",930.19
"58",904.3
"59",961.71
"60",791.94
"61",938.9
"62",867.11
"63",925.02
"64",948.97
"65",889.95
"66",904.09
"67",970.95
"68",828.7
"69",908.15
"70",881.51
"71",888.93
"72",920.37
"73",933.91
"74",863.51
"75",888.06
"76",967.33
"77",957
"78",955.78
"79",989.64
"80",905.95
"81",940.8
"82",924.3
"83",854.09
"84",863.63
"85",869.84
"86",939.85
"87",862.09
"88",836.87
"89",903.25
"90",928.97
"91",928.12
"92",969.11
"93",893.51
"94",944.17
"95",913.88
"96",906.93
"97",857.38
"98",933.96
"99",819.42
"100",817.33
