"data","wydzial","rok"
2.6,"A","I"
4.1,"A","I"
3.1,"A","I"
2.4,"A","I"
3.1,"B","I"
2.5,"B","I"
3.3,"B","I"
3.8,"B","I"
2.7,"C","I"
4.2,"C","I"
2.9,"C","I"
3.7,"C","I"
2.8,"A","II"
4.3,"A","II"
3.8,"A","II"
3.0,"A","II"
3.9,"B","II"
2.6,"B","II"
3.2,"B","II"
3.3,"B","II"
3.0,"C","II"
4.4,"C","II"
3.9,"C","II"
3.1,"C","II"
3.2,"A","III"
4.1,"A","III"
4.8,"A","III"
4.0,"A","III"
3.4,"B","III"
2.9,"B","III"
4.1,"B","III"
2.8,"B","III"
4.0,"C","III"
3.3,"C","III"
3.4,"C","III"
3.0,"C","III"
3.2,"A","IV"
3.9,"A","IV"
4.2,"A","IV"
3.6,"A","IV"
3.6,"B","IV"
4.4,"B","IV"
2.8,"B","IV"
3.9,"B","IV"
3.7,"C","IV"
5.0,"C","IV"
2.6,"C","IV"
3.4,"C","IV"
4.0,"A","V"
4.0,"A","V"
3.5,"A","V"
3.8,"A","V"
4.0,"B","V"
3.0,"B","V"
4.5,"B","V"
3.7,"B","V"
3.0,"C","V"
3.8,"C","V"
4.8,"C","V"
3.5,"C","V"
